Timestamp,X,Y,Z
16-7月-2020 12:32:45.588,-6.678662,-6.959478,-0.938399
16-7月-2020 12:32:45.688,-9.564061,-9.339379,0.434247
16-7月-2020 12:32:45.788,-11.14687,-8.250393,-5.420528
16-7月-2020 12:32:45.888,-6.358178,-15.130536,-1.419798
16-7月-2020 12:32:45.987,-0.934207,-4.654421,1.279389
16-7月-2020 12:32:46.087,-0.792901,-4.392316,0.972977
16-7月-2020 12:32:46.187,-5.193151,-11.676469,-1.059197
16-7月-2020 12:32:46.286,-12.527,-7.898625,-4.083059
16-7月-2020 12:32:46.385,-9.352102,-11.770323,0.365839
16-7月-2020 12:32:46.486,-4.52524,-7.885302,-0.034129
16-7月-2020 12:32:46.585,-0.984353,-4.923412,1.105751
16-7月-2020 12:32:46.685,-3.907624,-5.489834,-0.823737
16-7月-2020 12:32:46.785,-11.696677,-11.605666,0.4088
16-7月-2020 12:32:46.885,-9.673334,-5.460495,-7.802824
16-7月-2020 12:32:46.984,-7.566615,-13.926739,0.953817
16-7月-2020 12:32:47.084,-1.268462,-4.502188,0.72599
16-7月-2020 12:32:47.184,-1.272055,-5.222789,-0.464634
16-7月-2020 12:32:47.283,-5.445376,-12.164005,-1.010848
16-7月-2020 12:32:47.383,-7.828121,-7.203021,-0.428858
16-7月-2020 12:32:47.483,-5.444927,-8.139773,-0.830772
16-7月-2020 12:32:47.582,-3.966751,-7.606582,-0.490231
16-7月-2020 12:32:47.682,-0.403411,-2.374961,0.409848
16-7月-2020 12:32:47.782,-6.05431,-10.145003,0.242645
16-7月-2020 12:32:47.882,-11.545341,-9.926907,-0.953817
16-7月-2020 12:32:47.981,-6.926097,-6.374195,-1.487157
16-7月-2020 12:32:48.081,-4.602928,-10.974429,2.008224
16-7月-2020 12:32:48.181,-0.540825,-3.820056,-2.146237
16-7月-2020 12:32:48.280,-0.896486,-4.100273,-1.882635
16-7月-2020 12:32:48.380,-8.316855,-11.901301,-2.772235
16-7月-2020 12:32:48.480,-3.487448,-6.839427,4.588408
16-7月-2020 12:32:48.579,-7.04974,-12.859309,-0.61058
16-7月-2020 12:32:48.679,-2.318229,-4.356541,-0.018112
16-7月-2020 12:32:48.779,-1.58685,-3.701652,0.590073
16-7月-2020 12:32:48.879,-11.420501,-14.677877,-0.292043
16-7月-2020 12:32:48.978,-9.390123,-5.124893,0.095501
16-7月-2020 12:32:49.078,-8.019274,-13.75789,2.976261
16-7月-2020 12:32:49.178,-0.683329,-3.192711,-0.663869
16-7月-2020 12:32:49.277,-1.821263,-6.962172,0.439037
16-7月-2020 12:32:49.377,-8.045469,-3.204836,-7.074588
16-7月-2020 12:32:49.477,-12.415632,-22.733076,6.789431
16-7月-2020 12:32:49.576,-3.668721,-12.379557,-0.608934
16-7月-2020 12:32:49.676,-0.984952,-7.908654,0.103285
16-7月-2020 12:32:49.776,-1.09168,-4.363127,0.256566
16-7月-2020 12:32:49.876,-4.759802,-15.078295,1.161584
16-7月-2020 12:32:49.975,-4.38079,-9.760004,1.722318
16-7月-2020 12:32:50.075,-3.628754,-2.931953,-0.510738
16-7月-2020 12:32:50.175,-7.214697,-12.279565,-1.688938
16-7月-2020 12:32:50.274,-5.254972,-3.956123,-2.602488
16-7月-2020 12:32:50.374,-0.227227,-11.909833,-10.775642
16-7月-2020 12:32:50.474,-3.694168,-9.194779,-3.536396
16-7月-2020 12:32:50.573,-3.655997,-10.412647,-2.162852
16-7月-2020 12:32:50.673,-3.934269,-7.228468,3.227588
16-7月-2020 12:32:50.773,-5.817802,-8.651709,2.791395
16-7月-2020 12:32:50.873,-4.375701,-5.262457,1.799408
16-7月-2020 12:32:50.972,-6.390661,-8.908425,-2.020199
16-7月-2020 12:32:51.072,-7.893835,-6.360124,-7.151828
16-7月-2020 12:32:51.172,-8.399034,-11.098071,2.503843
16-7月-2020 12:32:51.271,-3.357069,-11.948453,6.369854
16-7月-2020 12:32:51.371,-1.934128,-8.87235,-4.413273
16-7月-2020 12:32:51.471,-3.85688,-7.834109,-1.465303
16-7月-2020 12:32:51.570,-5.492229,-8.640332,-0.180076
16-7月-2020 12:32:51.670,-5.912255,-9.659713,-0.902922
16-7月-2020 12:32:51.770,-5.530849,-9.666299,1.016536
16-7月-2020 12:32:51.870,-7.253915,-7.35735,4.70801
16-7月-2020 12:32:51.969,-6.307583,-4.355792,2.989583
16-7月-2020 12:32:52.069,-2.503544,-5.954168,0.216151
16-7月-2020 12:32:52.169,-6.034551,-6.685098,-0.537233
16-7月-2020 12:32:52.268,-9.416618,-10.217602,2.408192
16-7月-2020 12:32:52.368,-9.626931,-12.432846,0.570015
16-7月-2020 12:32:52.468,-2.550696,-11.085797,-0.928819
16-7月-2020 12:32:52.567,-2.747237,-7.721393,-0.537383
16-7月-2020 12:32:52.667,-6.17451,-4.872068,0.761017
16-7月-2020 12:32:52.767,-8.237819,-6.438262,0.908611
16-7月-2020 12:32:52.867,-10.628348,-3.73653,4.184848
16-7月-2020 12:32:52.966,-15.625706,-1.27924,9.200318
16-7月-2020 12:32:53.066,-12.051289,-3.575614,10.430909
16-7月-2020 12:32:53.166,-8.049361,7.04016,0.64456
16-7月-2020 12:32:53.265,-3.910318,4.54919,2.810106
16-7月-2020 12:32:53.365,-2.689158,7.28041,6.193221
16-7月-2020 12:32:53.464,0.205523,7.618857,3.664679
16-7月-2020 12:32:53.564,0.872835,8.721913,5.651947
16-7月-2020 12:32:53.664,0.310604,6.925498,4.01061
16-7月-2020 12:32:53.764,0.417632,7.783664,4.675677
16-7月-2020 12:32:53.864,0.001796,8.015831,5.442981
